Subject,story,trial,total words,Words missed,in %,Coder
IN22,Ashley & psychics,3,302,0,0.0,JC
IN22,Lion & mouse,4,219,0,0.0,JC
IN22,Father & sons,5,189,0,0.0,JC
IN22,Rabbit's thesis,6,361,1,0.0,JC
IN22,Tim's brilliant career,7,282,3,1.0,JC
IN22,Man vs. monkeys,8,324,5,2.0,JC
IN23,Ashley & psychics,1,302,28,9.0,SB
IN23,Man vs. monkeys,2,324,12,4.0,SB
IN23,Shepherd boy & wolf,4,268,0,0.0,SB
IN23,Rabbit's thesis,5,361,4,1.0,SB
IN23,Father & sons,6,189,6,3.0,SB
IN23,Lion & mouse,7,219,4,2.0,SB
IN23,Tim's brilliant career,8,282,7,2.0,SB
IN23,Cat Videos,3,291,,,SB
IN24,Tim's brilliant career,1,282,72,26.0,JC
IN24,Lion & mouse,2,219,14,6.0,JC
IN24,Father & sons,3,189,3,2.0,JC
IN24,Rabbit's thesis,4,361,3,1.0,JC
IN24,Shepherd boy & wolf,5,268,17,6.0,JC
IN24,Cat Videos,6,291,2,1.0,JC
IN24,Man vs. monkeys,7,324,3,1.0,JC
IN24,Ashley & psychics,8,302,1,0.0,JC
IN25,Rabbit's thesis,1,361,144,40.0,JC
IN25,Father & sons,2,189,53,28.0,JC
IN25,Cat Videos,3,291,72,25.0,JC
IN25,Ashley & psychics,4,302,98,32.0,JC
IN25,Shepherd boy & wolf,5,268,53,20.0,JC
IN25,Tim's brilliant career,6,282,69,24.0,JC
IN25,Lion & mouse,7,219,51,23.0,JC
IN25,Man vs. monkeys,8,324,73,23.0,JC
IN26,Man vs. monkeys,1,324,24,7.0,JC
IN26,Tim's brilliant career,2,282,2,1.0,JC
IN26,Rabbit's thesis,3,361,0,0.0,JC
IN26,Father & sons,4,189,2,1.0,JC
IN26,Lion & mouse,5,219,18,8.0,JC
IN26,Cat Videos,6,291,0,0.0,JC
IN26,Ashley & psychics,7,302,3,1.0,JC
IN26,Shepherd boy & wolf,8,268,3,1.0,JC
IN27,Cat Videos,1,291,130,45.0,JC
IN27,Lion & mouse,2,219,28,13.0,JC
IN27,Man vs. monkeys,3,324,19,6.0,JC
IN27,Shepherd boy & wolf,4,268,25,9.0,JC
IN27,Ashley & psychics,5,302,10,3.0,JC
IN27,Rabbit's thesis,6,361,35,10.0,JC
IN27,Father & sons,7,189,19,10.0,JC
IN27,Tim's brilliant career,8,282,3,1.0,JC
IN28,Shepherd boy & wolf,1,268,22,8.2,JC
IN28,Man vs. monkeys,2,324,25,7.7,JC
IN28,Tim's brilliant career,3,282,3,1.1,JC
IN28,Lion & mouse,4,219,19,8.7,JC
IN28,Rabbit's thesis,5,361,16,4.4,JC
IN28,Father & sons,6,189,3,1.6,JC
IN28,Ashley & psychics,7,302,10,3.3,JC
IN28,Cat Videos,8,291,9,3.1,JC
IN29,Ashley & psychics,1,302,58,19.2,JC
IN29,Tim's brilliant career,2,282,7,2.5,JC
IN29,Rabbit's thesis,3,361,0,0.0,JC
IN29,Cat Videos,4,291,1,0.3,JC
IN29,Father & sons,5,189,4,2.1,JC
IN29,Lion & mouse,6,219,0,0.0,JC
IN29,Man vs. monkeys,7,324,0,0.0,JC
IN29,Shepherd boy & wolf,8,268,9,3.4,JC
IN30,Shepherd boy & wolf,1,268,15,5.6,JC
IN30,Ashley & psychics,2,302,0,0.0,JC
IN30,Cat Videos,3,291,0,0.0,JC
IN30,Tim's brilliant career,4,282,0,0.0,JC
IN30,Man vs. monkeys,5,324,1,0.3,JC
IN30,Rabbit's thesis,6,361,1,0.3,JC
IN30,Father & sons,7,189,0,0.0,JC
IN30,Lion & mouse,8,219,3,1.4,JC
IN31,Father & sons,1,189,20,10.6,JC
IN31,Rabbit's thesis,2,361,36,10.0,JC
IN31,Man vs. monkeys,3,324,15,4.6,JC
IN31,Cat Videos,4,291,18,6.2,JC
IN31,Tim's brilliant career,5,282,16,5.7,JC
IN31,Ashley & psychics,6,302,20,6.6,JC
IN31,Shepherd boy & wolf,7,268,32,11.9,JC
IN31,Lion & mouse,8,219,20,9.1,JC
IN32,Rabbit's thesis,1,361,4,1.1,JC
IN32,Ashley & psychics,2,302,2,0.7,JC
IN32,Tim's brilliant career,3,282,0,0.0,JC
IN32,Man vs. monkeys,4,324,11,3.4,JC
IN32,Lion & mouse,5,219,0,0.0,JC
IN32,Shepherd boy & wolf,6,268,8,3.0,JC
IN32,Cat Videos,7,291,14,4.8,JC
IN32,Father & sons,8,189,1,0.5,JC
